x,running_time
1,676.33
2,582.67
3,683.33
4,812.67
5,967.33
6,1818.33
7,1520.00
8,15436.67
9,33911.00
10,34304.00
11,31766.00
12,27014.67
13,67427.33
14,88606.67
15,96745.00
16,1200000.00
